Age,Family_Size,Segmentation,Graduated_Yes,Ever_Married_Yes,Spending_Score_Average,Spending_Score_High,Spending_Score_Low,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Age_Segment_Adult,Age_Segment_Elderly,Age_Segment_Middle_Aged,Age_Adult,Age_Middle_Aged,Age_Elderly
0.5211267605633803,0.0,A,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.5211267605633803,0.0
0.45070422535211274,0.0,A,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.45070422535211274,0.0
0.2816901408450705,0.25,A,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.2816901408450705,0.0,0.0
1.0,0.0,A,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,1.0
0.2676056338028169,0.375,A,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.2676056338028169,0.0,0.0
0.9859154929577466,0.125,A,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.9859154929577466
0.11267605633802819,0.125,A,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.11267605633802819,0.0,0.0
0.1830985915492958,0.25,A,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.1830985915492958,0.0,0.0
0.352112676056338,0.125,A,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.352112676056338,0.0
0.1830985915492958,0.375,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1830985915492958,0.0,0.0
0.49295774647887325,0.0,A,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.49295774647887325,0.0
0.23943661971830987,0.125,A,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.23943661971830987,0.0,0.0
0.47887323943661975,0.125,A,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.47887323943661975,0.0
0.49295774647887325,0.25,A,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.49295774647887325,0.0
